type,Pole
Q,0,0,0,0
R,0
Eigenvalue,0.994587+0j,0.916229+0j,0.945962+0.00594968j,0.945962+-0.00594968j
Gain,30.9996,4.90698,0.0930444,0.371156
time,elapsed_time,theta_p,theta_p_dot,theta_w,theta_w_dot,theta_p_kf,theta_p_dot_kf,theta_w_kf,theta_w_dot_kf,log_motor_value,log_motor_direction,log_pwm_duty
1740906945.742,1.38743,-0.02623,-0.33365,2.35500,4.71001,0.00333,-0.40495,2.53811,7.99223,1.48861,1,29.00000
1740906945.752,1.39794,-0.03075,-0.22518,2.41780,6.27999,0.00206,-0.38470,2.58779,7.84592,1.49900,1,29.00000
1740906945.763,1.40915,-0.03429,-0.30711,2.46490,4.70998,-0.00085,-0.37329,2.63571,7.67768,1.40680,1,28.00000
1740906945.773,1.41916,-0.03370,-0.22196,2.51200,4.71001,-0.00229,-0.35604,2.68206,7.52005,1.39274,1,27.00000
1740906945.784,1.42964,-0.03317,-0.36342,2.57480,6.27999,-0.00633,-0.35655,2.72989,7.37627,1.21598,1,24.00000
1740906945.795,1.44110,-0.03468,-0.30453,2.60620,3.14000,-0.00931,-0.34962,2.77358,7.20445,1.09792,1,21.00000
1740906945.805,1.45083,-0.03690,-0.35211,2.65330,4.71003,-0.01325,-0.34383,2.81639,6.99363,0.92975,1,18.00000
1740906945.817,1.46293,-0.03739,-0.28797,2.70040,4.70998,-0.01612,-0.32889,2.85789,6.75708,0.83026,1,16.00000
1740906945.827,1.47235,-0.03855,-0.34844,2.74750,4.70998,-0.02021,-0.31805,2.89817,6.48868,0.66084,1,13.00000
1740906945.837,1.48255,-0.03868,-0.29298,2.77890,3.14002,-0.02340,-0.29950,2.93451,6.18521,0.54353,1,10.00000
1740906945.846,1.49233,-0.03929,-0.37320,2.82600,4.70998,-0.02818,-0.28936,2.97011,5.86712,0.33063,1,6.00000
1740906945.859,1.50469,-0.04348,-0.37162,2.85740,3.14002,-0.03301,-0.27810,3.00213,5.52057,-0.22970,2,4.00000
1740906945.868,1.51355,-0.04658,-0.38428,2.90450,4.70998,-0.03820,-0.26571,3.03352,5.14736,-0.46530,2,9.00000
1740906945.878,1.52417,-0.05360,-0.38921,2.93590,3.14000,-0.04389,-0.23264,3.06089,4.59344,-0.68260,2,13.00000
1740906945.890,1.53598,-0.05655,-0.30396,2.96730,3.14002,-0.04838,-0.18903,3.08393,3.99604,-0.82732,2,16.00000
1740906945.900,1.54555,-0.05962,-0.32096,2.99870,3.13997,-0.05353,-0.14931,3.10315,3.37770,-1.01972,2,20.00000
1740906945.911,1.55643,-0.06252,-0.31283,3.03010,3.14002,-0.05879,-0.11434,3.11902,2.76946,-1.23556,2,24.00000
1740906945.921,1.56733,-0.06519,-0.24564,3.04580,1.57001,-0.06316,-0.07269,3.12938,2.12872,-1.40324,2,28.00000
1740906945.932,1.57822,-0.06623,-0.29414,3.07720,3.13997,-0.06867,-0.04029,3.13772,1.49328,-1.65033,2,33.00000
1740906945.943,1.58886,-0.06816,-0.32205,3.09290,1.57001,-0.07489,-0.01416,3.14165,0.85195,-1.95248,2,39.00000
